DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P541;P1392;P1392S1;P1392S3;P1959;P1960;P1960S1;P1960S2;P522;P523;P565S1;P565S2;P565S3;P565S4;P1179;P1179S1;P1179S3;P568;P525;P1343;P1343S1;P1343S3;P577;P3303;P3304;P3305S1;P3305S2;P3305S3;P3305S4;P3305S5;P3306;P3306S1;P3306S2;P3307;P3307S1;P3307S2;P3308;P3308S1;P3308S2;P3309;P3309S1;P3309S2;P33010;P33010S1;P33010S2;P33011;P33011S1;P33011S2;P3312;P526;P1315;P1315S1;P1315S3;P3115S1;P3115S2;P3115S3;P3115S4;P3313;P3314;P528;P1286;P1956;P1976S1;P1976S2;P1976S9;P1976S4;P1976S5;P1976S6;P1976S7;P1976S13;P1976S14;P1976S8
600000;237;1;1;1;942.7865899;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600000;237;2;1;2;942.7865899;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;1;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600001;237;1;1;1;825.00296847;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;1;1;8;1;2;1;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2
600002;237;1;1;1;642.87109712;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600002;237;2;1;2;642.87109712;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600003;237;1;1;1;1568.8798674;2;2;;;2;2;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600003;237;2;1;2;1568.8798674;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;2;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600003;237;3;1;3;1568.8798674;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600003;237;7;1;7;1568.8798674;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;1;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
600003;237;8;1;8;1568.8798674;;;;;;;;;2;;2;2;2;2;;;;;2;2;;;;1;2;1;2;2;2;2;2;;;2;;;2;;;2;;;2;;;2;;;2;2;2;;;2;2;2;2;;;2;2;2;2;2;2;2;2;2;2;2;2;2
