DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1182S1;P1182S2;P1182S3;P1181S1;P1181S2;P3317S1;P3317S2;P3317S3;P3318;P1612S1;P1611S1;P1772;P3319S1;P3319S2;P3320;P3321;P3119;P3121;P3122S1;P3122S2;P3122S3;P3122S4;P3123;P3124;P3125S1;P3125S2;P3125S3;P3125S4;P3125S5;P3125S6;P3126;P3322;P3127;P3128S1;P3128S2;P3128S3;P3128S4;P3128S5;P3128S6;P3128S7;P3128S8;P3129;P3323S1;P3323S2;P3323S3;P3323S4;P3323S5;P3323S6;P3324S1;P3324S2;P3324S3;P3324S4;P3325S1;P3325S2;P3325S3;P3325S4;P3326S1;P3326S2;P3326S3;P3326S4;P3326S5;P3326S6;P3326S7;P3326S8;P3326S9;P3327S1;P3327S2;P3327S3
600000;237;1;1;1;942.7865899;2;3;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;1;;;1;;;;2;1;1;;;;;;;;1;;;;;2;2;2;3;1;2;2;2;2;3;4;4
600000;237;2;1;2;942.7865899;1;3;2;2;2;1;1;2;1;4;1;2;1;1;1;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;1;1;1;;1;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600001;237;1;1;1;825.00296847;1;2;2;2;2;2;1;2;2;;2;2;2;2;2;3;4;2;;;;;;;;;;;;;;2;3;1;;;1;1;;;;2;1;;;;;;;1;;;;;;;1;1;1;1;2;2;2;2;2;3;3;3
600002;237;1;1;1;642.87109712;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;1;1;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;2;2;3
600002;237;2;1;2;642.87109712;2;2;2;2;2;2;2;2;1;3;2;2;2;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;1;1;1;;;2;;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600003;237;1;1;1;1568.8798674;3;3;3;3;3;3;3;3;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;4;;;;;;;;2;;;;;;;2;;;;1;;;;;3;2;2;2;2;2;3;3;3;2;2;2
600003;237;2;1;2;1568.8798674;3;3;3;3;3;3;2;3;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;3;3;3;3;3;3
600003;237;3;1;3;1568.8798674;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;3;3;2;3
600003;237;7;1;7;1568.8798674;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;1;1;;;;;;;2;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600003;237;8;1;8;1568.8798674;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600004;237;1;1;1;530.31745682;2;2;2;2;2;2;2;2;2;;2;1;1;2;1;3;3;2;;;;;;;;;;;;;;1;3;1;;1;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;3;4
600004;237;3;1;3;530.31745682;2;3;2;2;3;2;2;3;1;3;2;1;1;2;9;3;3;2;;;;;;;;;;;;;;2;3;1;;1;;;;;;2;1;;;;;;1;1;;;1;;;;2;2;2;2;2;2;2;2;2;3;4;4
600005;237;1;1;1;235.69664748;1;1;2;1;2;2;1;2;1;4;1;1;1;1;1;4;4;1;1;;;;4;1;1;;;;;;1;1;4;;1;1;1;;;;;2;1;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600006;237;1;1;1;235.69664748;2;2;2;2;2;2;1;2;1;3;2;2;9;9;9;3;3;2;;;;;;;;;;;;;;2;3;;1;1;;;;;;2;1;1;;;;;;1;;;;;;;2;3;2;3;2;3;3;3;2;3;3;3
600006;237;2;1;2;235.69664748;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;1;1;;1;1;;;2;1;1;;;;;;;;1;;;;;2;3;3;2;2;2;3;3;3;3;3;3
600006;237;3;1;3;235.69664748;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;;;;;;2;1;1;;;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;3;3;3
600006;237;4;1;4;235.69664748;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;;1;1;;;;;;2;;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600007;237;1;1;1;235.69664748;1;2;2;2;2;2;1;2;1;4;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;1;;1;;;;;2;1;1;;;;;;;;1;;;;;1;1;1;1;1;1;1;1;1;4;4;4
600007;237;2;1;2;235.69664748;1;3;3;3;3;1;1;1;1;4;1;1;1;1;1;5;5;2;;;;;;;;;;;;;;2;5;1;1;;1;;;;;1;1;1;;1;;;;1;;;;;;;1;1;1;1;1;1;1;1;1;5;5;5
600008;237;1;1;1;317.50637027;2;2;2;2;3;1;2;1;2;;2;1;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;1;1;;;;;;3;1;1;;;;;1;;;;1;;;;2;3;2;2;1;1;1;1;1;3;3;3
600009;237;1;1;1;384.90644501;2;2;2;2;2;2;2;2;2;;2;2;9;9;9;4;4;2;;;;;;;;;;;;;;2;4;1;;;1;;;;;2;1;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600009;237;2;1;2;384.90644501;2;2;2;2;2;2;2;2;2;;2;2;9;2;9;3;3;2;;;;;;;;;;;;;;2;3;1;1;;1;;;;;2;1;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600010;237;1;1;1;235.69664748;2;2;2;2;2;1;2;2;2;;2;2;9;9;9;4;5;2;;;;;;;;;;;;;;2;4;1;1;;1;;;;;2;1;1;;1;;;1;1;;;1;1;;;1;1;1;1;1;1;1;1;1;4;4;4
600010;237;4;1;4;235.69664748;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;1;;1;;;;;2;1;1;;1;;;1;1;;;1;;;;1;1;1;1;1;1;1;1;1;4;4;4
600010;237;5;1;5;235.69664748;2;3;2;2;2;1;2;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;4;1;1;;1;;;;;2;1;1;;;;;1;1;;;1;;1;;1;1;1;1;1;1;1;1;1;4;4;4
600011;237;1;1;1;235.69664748;2;2;2;2;2;3;2;2;1;3;2;2;1;1;2;3;3;2;;;;;;;;;;;;;;2;3;;1;1;1;1;;;;2;1;1;;1;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;3;3;3
600012;237;1;1;1;530.31745682;2;2;2;2;2;2;1;2;1;3;1;2;2;2;9;4;4;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600012;237;2;1;2;530.31745682;1;2;2;2;2;2;1;3;1;3;1;2;9;9;9;3;4;2;;;;;;;;;;;;;;2;3;1;;1;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600013;237;1;1;1;354.7411147;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;1;;;;;;2;1;1;;;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600013;237;2;1;2;354.7411147;2;2;2;2;2;2;3;2;2;;2;2;2;2;2;4;4;2;;;;;;;;;;;;;;2;3;1;1;1;1;;;;;2;1;1;1;;;;;;;1;;;;;2;2;2;2;2;2;3;3;2;3;3;3
600014;237;1;1;1;530.31745682;1;2;2;2;2;2;1;3;1;4;2;1;1;9;1;3;3;2;;;;;;;;;;;;;;2;3;;1;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600015;237;1;1;1;530.31745682;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;1;;;1;;;;;2;1;;;1;;;1;;;;1;;;;2;2;2;2;2;2;2;2;2;4;4;4
600015;237;2;1;2;530.31745682;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600016;237;1;1;1;851.75300538;2;2;2;2;2;2;2;2;2;;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;;;;;;;2;;;;;;;2;;;;1;;;;;3;3;3;3;3;3;3;3;3;4;3;3
600017;237;2;1;2;530.31745682;1;2;2;2;3;2;1;2;1;3;1;1;1;9;1;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600017;237;1;1;1;530.31745682;1;2;2;2;2;2;1;2;1;3;1;1;1;9;9;3;3;2;;;;;;;;;;;;;;2;3;1;;;;;;;;2;1;;;;;;;1;;;;;;;2;2;2;2;2;2;2;2;2;4;4;4
600018;237;1;1;1;84.526358705;2;3;3;3;3;3;3;3;1;3;2;2;1;2;9;4;4;2;;;;;;;;;;;;;;2;3;;;1;;;;;;3;;;;;;2;;;;1;;;;;3;2;1;1;1;1;3;3;3;1;2;2
600018;237;2;1;2;84.526358705;2;3;3;3;3;3;3;3;2;;2;2;2;2;2;5;5;2;;;;;;;;;;;;;;2;3;;;1;1;;;;;2;;;;1;;;;;;1;;;;;2;2;2;2;2;2;2;2;2;3;3;3
600018;237;3;1;3;84.526358705;2;3;3;3;3;3;3;3;1;2;2;2;2;2;2;3;3;2;;;;;;;;;;;;;;2;3;;1;1;;;1;;;2;;;;1;;;;1;;;;;;;2;2;2;2;2;3;2;2;2;3;3;3
