DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600000,237,1,1,1,942.7865899,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600000,237,2,1,2,942.7865899,Mucho,Nada,Poco,Poco,Poco,Mucho,Mucho,Poco,4,4,0
600001,237,1,1,1,825.00296847,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,3,4,0
600002,237,1,1,1,642.87109712,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600002,237,2,1,2,642.87109712,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600003,237,1,1,1,1568.8798674,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600003,237,2,1,2,1568.8798674,Nada,Nada,Nada,Nada,Nada,Nada,Poco,Nada,3,3,0
600003,237,3,1,3,1568.8798674,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600003,237,7,1,7,1568.8798674,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600003,237,8,1,8,1568.8798674,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600004,237,1,1,1,530.31745682,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600004,237,3,1,3,530.31745682,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,3,3,0
600005,237,1,1,1,235.69664748,Mucho,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,4,4,1
600006,237,1,1,1,235.69664748,Poco,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,3,3,0
600006,237,2,1,2,235.69664748,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600006,237,3,1,3,235.69664748,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600006,237,4,1,4,235.69664748,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600007,237,1,1,1,235.69664748,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
600007,237,2,1,2,235.69664748,Mucho,Nada,Nada,Nada,Nada,Mucho,Mucho,Mucho,5,5,0
600008,237,1,1,1,317.50637027,Poco,Poco,Poco,Poco,Nada,Mucho,Poco,Mucho,3,3,0
600009,237,1,1,1,384.90644501,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600009,237,2,1,2,384.90644501,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600010,237,1,1,1,235.69664748,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,5,0
600010,237,4,1,4,235.69664748,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600010,237,5,1,5,235.69664748,Poco,Nada,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
600011,237,1,1,1,235.69664748,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,3,0
600012,237,1,1,1,530.31745682,Poco,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
600012,237,2,1,2,530.31745682,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Nada,3,4,0
600013,237,1,1,1,354.7411147,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600013,237,2,1,2,354.7411147,Poco,Poco,Poco,Poco,Poco,Poco,Nada,Poco,4,4,0
600014,237,1,1,1,530.31745682,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Nada,3,3,0
600015,237,1,1,1,530.31745682,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600015,237,2,1,2,530.31745682,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600016,237,1,1,1,851.75300538,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600017,237,2,1,2,530.31745682,Mucho,Poco,Poco,Poco,Nada,Poco,Mucho,Poco,3,3,0
600017,237,1,1,1,530.31745682,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,3,3,0
600018,237,1,1,1,84.526358705,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600018,237,2,1,2,84.526358705,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,5,5,0
600018,237,3,1,3,84.526358705,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600019,237,1,1,1,236.41199915,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600019,237,2,1,2,236.41199915,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,5,5,0
600020,237,1,1,1,119.40161206,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,Mucho,Nada,4,4,0
600020,237,2,1,2,119.40161206,Mucho,Poco,Poco,Mucho,Poco,Poco,Poco,Poco,4,4,0
600021,237,1,1,1,156.28816769,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600021,237,2,1,2,156.28816769,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600022,237,1,1,1,138.55742758,Poco,Poco,Nada,Nada,Nada,Mucho,Poco,Poco,3,2,0
600022,237,2,1,2,138.55742758,Poco,Poco,Poco,Poco,Nada,Mucho,Nada,Poco,3,4,0
600023,237,1,1,1,140.7221974,Poco,Nada,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,3,4,0
600024,237,1,1,1,161.1679695,Poco,Mucho,Poco,Poco,Poco,Mucho,Poco,Poco,3,3,0
600025,237,1,1,1,148.90268676,Mucho,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,5,5,0
600025,237,2,1,2,148.90268676,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Poco,5,5,0
600025,237,3,1,3,148.90268676,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600025,237,4,1,4,148.90268676,Poco,Nada,Mucho,Mucho,Poco,Poco,Poco,Poco,4,4,0
600026,237,1,1,1,159.55595556,Poco,Poco,Nada,Nada,Poco,Poco,Poco,Poco,3,3,0
600026,237,2,1,2,159.55595556,Poco,Mucho,Poco,Poco,Nada,Mucho,Poco,Nada,3,4,0
600027,237,1,1,1,119.91353785,Mucho,Nada,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600027,237,3,1,3,119.91353785,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,4,4,0
600028,237,1,1,1,132.83744949,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600028,237,2,1,2,132.83744949,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600029,237,1,1,1,109.53622432,Poco,Mucho,Poco,Poco,Poco,Poco,Poco,Poco,2,3,0
600030,237,1,1,1,88.558299661,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600030,237,2,1,2,88.558299661,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600031,237,1,1,1,112.03501327,Poco,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600031,237,2,1,2,112.03501327,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600032,237,1,1,1,107.445313,Poco,Poco,Nada,Nada,Nada,Nada,Nada,Nada,4,4,0
600033,237,1,1,1,79.601074708,Mucho,Mucho,Mucho,Poco,Poco,Poco,Mucho,Mucho,4,4,0
600033,237,2,1,2,79.601074708,Mucho,Mucho,Mucho,Mucho,Poco,Nada,Mucho,Mucho,4,4,0
600034,237,1,1,1,79.601074708,Mucho,Poco,Poco,Poco,Poco,Nada,Poco,Poco,2,4,0
600034,237,2,1,2,79.601074708,Poco,Mucho,Poco,Poco,Poco,Nada,Poco,Poco,3,3,0
600035,237,1,1,1,109.53622432,Mucho,Mucho,Poco,Poco,Poco,Nada,Mucho,Poco,2,4,0
600036,237,1,1,1,93.814798268,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600037,237,1,1,1,124.14999299,Poco,Poco,Nada,Poco,Poco,Nada,Poco,Poco,4,3,0
600038,237,1,1,1,69.030462744,Poco,Poco,Nada,Poco,Poco,Poco,Nada,Nada,1,3,0
600038,237,2,1,2,69.030462744,Nada,Nada,Nada,Nada,Nada,Poco,Nada,Nada,1,1,0
600038,237,3,1,3,69.030462744,Mucho,Nada,Nada,Poco,Nada,Poco,Nada,Nada,4,4,1
600039,237,1,1,1,69.738232858,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,2,0
600039,237,2,1,2,69.738232858,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600039,237,3,1,3,69.738232858,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600040,237,1,1,1,53.652478095,Poco,Poco,Nada,Nada,Nada,Poco,Poco,Poco,3,3,0
600040,237,2,1,2,53.652478095,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600040,237,3,1,3,53.652478095,Poco,Poco,Poco,Poco,Nada,Nada,Nada,Nada,2,2,0
600041,237,1,1,1,92.599024541,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Mucho,Poco,3,3,0
600041,237,2,1,2,92.599024541,Mucho,Mucho,Mucho,Mucho,Poco,Poco,Poco,Poco,4,4,0
