DIRECTORIO,Aporte_policia,Aporte_fuerzas_armadas,Aporte_alcaldia,Aporte_justicia_fiscalia,Aporte_justicia_jueces,Aported_convivencia_ICBF,Aporte_convivencia_InspeccionesPolicia,Aporte_convivencia_CentroConciliacion,Nivel_satisfaccion_policia,Nivel_confianza_policia,Solicitó_servicios_policia
600000,Poco,Nada,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600000,Mucho,Nada,Poco,Poco,Poco,Mucho,Mucho,Poco,4,4,0
600001,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,3,4,0
600002,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600002,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600003,Nada,Nada,Nada,Nada,Nada,Nada,Nada,Nada,3,3,0
600003,Nada,Nada,Nada,Nada,Nada,Nada,Poco,Nada,3,3,0
600003,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600003,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600003,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600004,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600004,Poco,Nada,Poco,Poco,Nada,Poco,Poco,Nada,3,3,0
600005,Mucho,Mucho,Poco,Mucho,Poco,Poco,Mucho,Poco,4,4,1
600006,Poco,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,3,3,0
600006,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600006,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600006,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600007,Mucho,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,4,4,0
600007,Mucho,Nada,Nada,Nada,Nada,Mucho,Mucho,Mucho,5,5,0
600008,Poco,Poco,Poco,Poco,Nada,Mucho,Poco,Mucho,3,3,0
600009,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600009,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,3,3,0
600010,Poco,Poco,Poco,Poco,Poco,Mucho,Poco,Poco,4,5,0
600010,Poco,Poco,Poco,Poco,Poco,Poco,Poco,Poco,4,4,0
600010,Poco,Nada,Poco,Poco,Poco,Mucho,Poco,Poco,4,4,0
600011,Poco,Poco,Poco,Poco,Poco,Nada,Poco,Poco,3,3,0
