DIRECTORIO,Sexo,Edad,Ocupacion,Ciudad,Clase,Estrato
601351,Hombre,45,Trabajando,Bogotá,Cabecera,2.0
601351,Hombre,84,Incapacitado permanente para trabajar,Bogotá,Cabecera,2.0
601352,Mujer,60,Trabajando,Bogotá,Cabecera,1.0
601352,Hombre,81,Incapacitado permanente para trabajar,Bogotá,Cabecera,1.0
601353,Hombre,58,Trabajando,Bogotá,Cabecera,3.0
601626,Mujer,47,Oficios del hogar,Cali,Cabecera,2.0
601627,Mujer,51,Oficios del hogar,Cali,Cabecera,2.0
601627,Hombre,18,Estudiando,Cali,Cabecera,2.0
601627,Mujer,25,Trabajando,Cali,Cabecera,2.0
601628,Mujer,65,Oficios del hogar,Cali,Cabecera,2.0
601628,Hombre,39,Trabajando,Cali,Cabecera,2.0
601629,Mujer,39,Trabajando,Cali,Cabecera,2.0
601629,Mujer,24,Trabajando,Cali,Cabecera,2.0
601629,Mujer,5,,Cali,Cabecera,2.0
601629,Mujer,73,Oficios del hogar,Cali,Cabecera,2.0
601630,Mujer,45,Trabajando,Cali,Cabecera,2.0
601630,Mujer,11,,Cali,Cabecera,2.0
601630,Mujer,26,Oficios del hogar,Cali,Cabecera,2.0
601630,Hombre,25,Trabajando,Cali,Cabecera,2.0
601630,Hombre,3,,Cali,Cabecera,2.0
601631,Mujer,29,Trabajando,Cali,Cabecera,2.0
601631,Hombre,27,Trabajando,Cali,Cabecera,2.0
601631,Mujer,10,,Cali,Cabecera,2.0
601632,Mujer,31,Oficios del hogar,Cali,Cabecera,2.0
601632,Hombre,4,,Cali,Cabecera,2.0
601632,Mujer,2,,Cali,Cabecera,2.0
601632,Hombre,50,Trabajando,Cali,Cabecera,2.0
601633,Mujer,64,Oficios del hogar,Cali,Cabecera,2.0
601633,Hombre,84,Pensionado,Cali,Cabecera,2.0
601633,Mujer,30,Trabajando,Cali,Cabecera,2.0
601633,Hombre,12,,Cali,Cabecera,2.0
601634,Hombre,42,Trabajando,Cali,Cabecera,2.0
601634,Mujer,40,Oficios del hogar,Cali,Cabecera,2.0
601635,Hombre,33,Trabajando,Cali,Cabecera,2.0
601635,Mujer,31,Trabajando,Cali,Cabecera,2.0
601635,Mujer,6,,Cali,Cabecera,2.0
601635,Mujer,1,,Cali,Cabecera,2.0
601636,Mujer,63,Trabajando,Cali,Cabecera,2.0
601636,Hombre,80,Trabajando,Cali,Cabecera,2.0
601636,Hombre,40,Trabajando,Cali,Cabecera,2.0
601636,Mujer,40,Trabajando,Cali,Cabecera,2.0
601636,Mujer,2,,Cali,Cabecera,2.0
