DIRECTORIO,Victima_hurto_residencial_2022,Hurto_objeto_personal_2022,Victima_delito_cibernetico_2022,Implicado_violencia_fisica_2022,Victima_fraude_2022,Victima_amenazas_2022,Victima_acoso_laboral_2022,Victima_acoso_escolar_2022,Victima_secuestro_2022,Victima_invasiones_domiciliarias_2022,Victima_desplazamiento_2022,Victima_acoso_callejero_2022,Victima_acoso_sexual_2022
600000,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600000,,0,0,0,0,0,0,0,0,0,0,0,0
600001,0.0,0,0,1,0,0,0,0,0,0,0,0,0
600002,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600002,,0,0,0,0,0,0,0,0,0,0,0,0
600003,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600003,,0,0,0,0,0,0,0,0,0,0,0,0
600003,,0,0,0,0,0,0,0,0,0,0,0,0
600003,,0,0,0,0,0,0,0,0,0,0,0,0
600003,,0,0,0,0,0,0,0,0,0,0,0,0
600004,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600004,,0,0,0,0,0,0,0,0,0,0,0,0
600005,0.0,0,0,1,0,0,0,0,0,0,0,0,0
600006,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600006,,0,0,0,0,0,0,0,0,0,0,0,0
600006,,0,0,0,0,0,0,0,0,0,0,0,0
600006,,0,0,0,0,0,0,0,0,0,0,0,0
600007,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600007,,0,0,0,0,0,0,0,0,0,0,0,0
600008,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600009,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600009,,0,0,0,0,0,0,0,0,0,0,0,0
600010,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600010,,0,0,0,0,0,0,0,0,0,0,0,0
600010,,0,0,0,0,0,0,0,0,0,0,0,0
600011,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600012,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600012,,0,0,0,0,0,0,0,0,0,0,0,0
600013,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600013,,0,0,0,0,0,0,0,0,0,0,0,0
600014,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600015,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600015,,0,0,0,0,0,0,0,0,0,0,0,0
600016,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600017,,0,0,0,0,0,0,0,0,0,0,0,0
600017,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600018,1.0,0,0,0,0,0,0,0,0,0,0,0,0
600018,,0,0,0,0,0,0,0,0,0,0,0,0
600018,,0,0,0,0,0,0,0,0,0,0,0,0
600019,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600019,,0,0,0,0,0,0,0,0,0,0,0,0
600020,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600020,,0,0,0,0,0,0,0,0,0,0,0,0
600021,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600021,,0,0,0,0,0,0,0,0,0,0,0,0
600022,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600022,,0,0,0,0,0,0,0,0,0,0,0,0
600023,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600024,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600025,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600025,,0,0,0,0,0,0,0,0,0,0,0,0
600025,,0,0,0,0,0,0,0,0,0,0,0,0
600025,,0,0,0,0,0,0,0,0,0,0,0,0
600026,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600026,,0,0,0,0,0,0,0,0,0,0,0,0
600027,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600027,,0,0,0,0,0,0,0,0,0,0,0,0
600028,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600028,,0,0,0,0,0,0,0,0,0,0,0,0
600029,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600030,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600030,,0,0,0,0,0,0,0,0,0,0,0,0
600031,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600031,,0,0,0,0,0,0,0,0,0,0,0,0
600032,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600033,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600033,,0,0,0,0,0,0,0,0,0,0,0,0
600034,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600034,,0,0,0,0,0,0,0,0,0,0,0,0
600035,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600036,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600037,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600038,0.0,0,0,0,1,0,0,0,0,0,0,0,0
600038,,0,0,0,0,0,0,0,0,0,0,0,0
600038,,0,1,0,0,0,0,0,0,0,0,0,0
600039,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600039,,0,0,0,0,0,0,0,0,0,0,0,0
600039,,0,0,0,0,0,0,0,0,0,0,0,0
600040,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600040,,0,0,0,0,0,0,0,0,0,0,0,0
600040,,0,0,0,0,0,0,0,0,0,0,0,0
600041,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600041,,0,0,0,0,0,0,0,0,0,0,0,0
600042,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600042,,0,0,0,0,0,0,0,0,0,0,0,0
600043,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600043,,0,0,0,0,0,0,0,0,0,0,0,0
600043,,0,0,0,0,0,0,0,0,0,0,0,0
600044,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600045,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600045,,0,0,0,0,0,0,0,0,0,0,0,0
600046,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600046,,0,0,0,0,0,0,0,0,0,0,0,0
600046,,0,0,0,0,0,0,0,0,0,0,0,0
600046,,0,0,0,0,0,0,0,0,0,0,0,0
600047,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600047,,0,0,0,0,0,1,0,0,0,0,0,0
600048,0.0,0,1,0,0,0,0,0,0,0,0,0,0
600048,,0,0,0,0,0,0,0,0,0,0,0,0
600049,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600049,,0,0,0,0,0,0,0,0,0,0,0,0
600049,,0,0,0,0,0,0,0,0,0,0,0,0
600050,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600050,,0,0,0,0,0,0,0,0,0,0,0,0
600051,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600051,,0,0,0,0,0,0,0,0,0,0,0,0
600052,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600052,,0,0,0,0,0,0,0,0,0,0,0,0
600052,,0,0,0,0,0,0,0,0,0,0,0,0
600053,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600053,,0,0,0,0,0,0,0,0,0,0,0,0
600053,,0,0,0,0,0,0,0,0,0,0,0,0
600053,,0,0,0,0,0,0,0,0,0,0,0,0
600054,1.0,1,1,0,0,0,0,0,0,0,0,0,0
600054,,1,1,0,1,1,0,1,0,0,0,1,0
600055,,0,1,0,0,0,0,0,0,0,0,0,0
600055,,0,0,0,0,0,0,0,0,0,0,0,0
600055,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600056,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600056,,0,0,0,0,0,0,0,0,0,0,0,0
600057,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600057,,0,0,0,0,0,0,0,0,0,0,0,0
600058,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600058,,0,0,0,0,0,0,0,0,0,0,0,0
600058,,0,0,0,0,0,0,0,0,0,0,0,0
600058,,0,0,0,0,0,0,0,0,0,0,0,0
600058,,0,0,0,0,0,0,0,0,0,0,0,0
600059,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600059,,0,0,0,0,0,0,0,0,0,0,0,0
600060,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600060,,0,0,0,0,0,0,0,0,0,0,0,0
600060,,0,0,0,0,0,0,0,0,0,0,0,0
600060,,0,0,0,0,0,0,0,0,0,0,0,0
600061,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600061,,0,0,0,0,0,0,0,0,0,0,0,0
600061,,0,0,0,0,0,0,0,0,0,0,0,0
600062,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600062,,0,0,0,0,0,0,0,0,0,0,0,0
600062,,1,0,0,0,0,0,0,0,0,0,0,0
600063,0.0,1,1,0,0,0,0,0,0,0,0,0,0
600063,,0,0,0,0,0,0,0,0,0,0,0,0
600064,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600064,,0,0,0,0,0,0,0,0,0,0,0,0
600065,0.0,0,1,0,0,0,1,0,0,0,0,0,0
600065,,0,0,0,0,0,0,0,0,0,0,0,0
600065,,0,0,0,0,0,0,0,0,0,0,0,0
600065,,0,0,0,0,0,0,0,0,0,0,0,0
600066,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600066,,0,0,0,0,0,0,0,0,0,0,0,0
600066,,0,0,0,0,0,0,0,0,0,0,1,0
600067,0.0,1,0,1,0,0,0,0,0,0,0,0,0
600067,,0,1,0,0,0,0,0,0,0,0,0,0
600068,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600068,,0,0,0,0,0,0,0,0,0,0,0,0
600068,,0,0,0,0,0,0,0,0,0,0,0,0
600069,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600069,,0,0,0,0,0,0,0,0,0,0,0,0
600070,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600071,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600071,,0,0,0,0,0,0,0,0,0,0,0,0
600072,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600072,,0,0,0,0,0,0,0,0,0,0,0,0
600072,,0,0,0,0,0,0,0,0,0,0,0,0
600073,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600073,,0,0,0,0,0,0,0,0,0,0,0,0
600074,0.0,0,1,0,0,0,0,0,0,0,0,0,0
600074,,0,0,0,0,0,0,0,0,0,0,0,0
600075,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600075,,1,0,0,0,0,0,0,0,0,0,0,0
600075,,0,0,0,0,0,0,0,0,0,0,0,0
600076,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600076,,0,0,0,0,0,0,0,0,0,0,0,0
600076,,0,0,0,0,0,0,0,0,0,0,0,0
600077,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600078,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600078,,0,0,0,0,0,0,0,0,0,0,0,0
600079,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600080,1.0,0,0,0,0,0,0,0,0,0,0,0,0
600080,,0,0,0,0,0,0,0,0,0,0,0,0
600081,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600082,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600083,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600083,,1,0,0,0,0,0,0,0,0,0,0,0
600083,1.0,1,1,1,0,0,0,0,0,0,0,0,0
600083,0.0,0,0,1,0,0,0,0,0,0,0,0,0
600084,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600085,0.0,1,0,0,0,0,0,0,0,0,0,0,0
600085,,0,0,0,0,0,0,0,0,0,0,0,0
600085,,0,0,0,0,0,0,0,0,0,0,0,0
600086,0.0,0,0,0,0,0,0,0,0,0,0,0,0
600086,,0,0,0,0,0,0,0,0,0,0,0,0
600086,,0,0,0,0,0,0,0,0,0,0,0,0
600086,,0,0,0,0,0,0,0,0,0,0,0,0
600086,,0,0,0,0,0,0,0,0,0,0,0,0
600087,0.0,0,0,0,0,0,0,0,0,0,0,0,0
