DIRECTORIO,homicidio,extorsiones,vandalismo,consumo_drogas,consumo_alcohol,agresiones_vecinos,violaciones_sexuales,acoso_sexual,presencia_pandillas,expendedores_droga,guerrilla,hurto
600000,no,no,no,si,si,no,no,no,si,no,no,si
600001,no,no,no,no,no,no,no,no,no,no,no,no
600002,no,no,no,no,no,no,no,no,no,no,no,no
600003,no,no,no,no,no,no,no,no,no,no,no,no
600004,no,no,no,no,no,no,no,no,no,no,no,no
600005,no,no,no,no,no,no,no,no,no,si,no,si
600006,no,no,no,si,si,no,no,no,no,si,no,si
600007,no,no,si,si,si,si,no,no,si,si,no,si
600008,no,no,si,si,si,no,no,no,si,si,no,si
600009,no,no,si,si,si,no,no,no,si,si,no,si
600010,no,no,si,si,si,si,no,no,no,no,no,si
600011,no,no,no,no,si,si,no,no,no,no,no,si
600012,no,no,no,no,no,no,no,no,no,no,no,no
600013,no,no,no,si,si,no,no,no,no,si,no,si
600014,no,no,no,no,no,no,no,no,no,no,no,no
600015,no,no,no,no,no,no,no,no,no,no,no,no
600016,no,no,no,no,no,no,no,no,no,no,no,no
600017,no,no,no,no,no,no,no,no,no,no,no,no
600018,no,no,no,no,no,no,no,no,no,no,no,si
600019,no,no,no,no,no,no,no,no,no,no,no,no
600020,no,no,no,no,no,no,no,no,no,no,no,no
600021,no,no,no,no,no,no,no,no,no,no,no,no
600022,no,no,no,no,no,no,no,no,no,no,no,no
600023,no,no,no,no,no,no,no,no,no,no,no,no
600024,no,no,no,no,no,no,no,no,no,no,no,no
600025,no,no,no,no,no,no,no,no,no,no,no,no
600026,no,no,no,no,no,no,no,no,no,no,no,no
600027,no,no,no,no,no,no,no,no,no,no,no,no
600028,no,no,no,no,no,no,no,no,no,no,no,no
600029,no,no,no,no,no,no,no,no,no,no,no,si
600030,no,no,no,no,no,no,no,no,no,no,no,no
600031,no,no,no,no,no,no,no,no,no,no,no,no
600032,no,no,no,no,no,no,no,no,no,no,no,no
600033,no,no,no,no,no,no,no,no,si,no,no,si
600034,no,no,no,no,no,no,no,no,no,no,no,no
600035,no,no,no,no,no,no,no,no,no,no,no,no
600036,no,no,no,no,no,no,no,no,no,no,no,no
