DIRECTORIO,se_siente_inseguro_barrio,se_siente_inseguro_ciudad,inseguro_caminando_solo_noche,inseguro_caminando_solo_dia,la_seguridad_en_los_ultimos_6_meses,puede_ser_victima_delito,inseguro_trabajo/estudio,inseguro_parques,inseguro_lugares_comerciales,inseguro_transporte_publico,inseguro_puentes_peatonales,inseguro_discotecas,causa_delincuencia,hurto_celulares_aumento,ladrones_pandillas_aumento,vendedores_droga_aumento,pobreza_aumento,desempleo_aumento,inmigrante_aumento,venta_compra_articulos_robados,habitantes_calle_aumento,prostitucion_aumento,extorcion_aumento,satisfecho_vida,satisfecho_situacion_economica,satisfecho_situacion_laboral
600000,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600000,3,3,3,3,siguio igual,no,seguro,no frecuenta parques,no frecuenta lugares comerciales,inseguro,no frecuenta puentes y peatonales,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,5,3,5
600001,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,aumento,disminuyo,disminuyo,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600002,2,2,2,2,disminuyo,no,inseguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,inseguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,aumento,aumento,no sabe,no sabe,no sabe,no sabe,5,3,4
600002,2,2,2,2,disminuyo,si,inseguro,inseguro,inseguro,inseguro,inseguro,2,falta de educacion,aumento,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,5,5,5
600003,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,5,desempleo,no sabe,no sabe,no sabe,no sabe,no sabe,disminuyo,disminuyo,no sabe,no sabe,disminuyo,5,5,5
600003,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,5,desempleo,disminuyo,disminuyo,no sabe,disminuyo,aumento,no sabe,no sabe,disminuyo,no sabe,no sabe,5,5,5
600003,3,3,3,3,siguio igual,no,inseguro,seguro,seguro,seguro,seguro,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,disminuyo,aumento,no sabe,no sabe,5,3,4
600003,2,3,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,no sabe,no sabe,no sabe,aumento,aumento,aumento,aumento,disminuyo,no sabe,no sabe,5,3,4
600003,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,5,5,5
600004,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,seguro,inseguro,3,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,disminuyo,4,1,1
600004,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,3,desempleo,aumento,aumento,aumento,aumento,aumento,disminuyo,disminuyo,disminuyo,disminuyo,no sabe,4,3,3
600005,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,5,desempleo,aumento,no sabe,no sabe,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600006,2,3,2,2,disminuyo,si,inseguro,seguro,inseguro,seguro,no frecuenta puentes y peatonales,5,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600006,2,3,4,2,disminuyo,si,inseguro,seguro,inseguro,seguro,seguro,5,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,3,4
600006,2,2,2,2,disminuyo,si,inseguro,inseguro,inseguro,inseguro,seguro,5,desempleo,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600006,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,desempleo,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600007,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,5,5,5
600007,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,aumento,disminuyo,5,5,5
600008,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,5,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600009,4,3,5,5,no vivia antes en la ciudad en ese periodo,no,seguro,no frecuenta parques,no frecuenta lugares comerciales,no toma transporte publico,no frecuenta puentes y peatonales,5,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600009,4,3,4,4,no vivia antes en la ciudad en ese periodo,no,seguro,seguro,seguro,seguro,seguro,5,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600010,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,3,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,disminuyo,5,5,5
600010,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600010,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,falta de vigilacia policial,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,5,5,5
600011,3,3,3,2,siguio igual,si,inseguro,seguro,seguro,seguro,seguro,5,el consumo de drogas,aumento,aumento,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,3,3,3
600012,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,aumento,aumento,aumento,aumento,aumento,disminuyo,no sabe,disminuyo,disminuyo,no sabe,4,4,4
600012,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,aumento,aumento,aumento,aumento,aumento,disminuyo,aumento,disminuyo,disminuyo,no sabe,5,5,5
600013,3,3,3,3,siguio igual,si,seguro,seguro,seguro,seguro,seguro,5,desempleo,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600013,3,3,3,3,siguio igual,no,seguro,seguro,seguro,seguro,seguro,3,el consumo de drogas,aumento,no sabe,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,no sabe,4,4,4
600014,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,inseguro,2,desempleo,disminuyo,aumento,aumento,aumento,aumento,disminuyo,aumento,disminuyo,no sabe,no sabe,5,5,5
600015,2,2,2,2,disminuyo,no,inseguro,inseguro,inseguro,inseguro,no frecuenta puentes y peatonales,5,desempleo,aumento,disminuyo,aumento,aumento,aumento,aumento,no sabe,no sabe,no sabe,aumento,5,3,3
600015,2,2,2,2,disminuyo,si,inseguro,no frecuenta parques,inseguro,inseguro,no frecuenta puentes y peatonales,3,falta de educacion,aumento,aumento,aumento,aumento,aumento,aumento,no sabe,aumento,disminuyo,aumento,5,3,3
