DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Sexo,Edad,Ocupacion
600000,237,2,1,2,942.7865899,Mujer,21,Buscando trabajo
600000,237,3,1,3,942.7865899,Mujer,3,
600000,237,1,1,1,942.7865899,Mujer,77,Trabajando
600001,237,1,1,1,825.00296847,Hombre,38,Trabajando
600002,237,1,1,1,642.87109712,Mujer,52,Trabajando
600002,237,2,1,2,642.87109712,Mujer,40,Trabajando
600003,237,1,1,1,1568.8798674,Hombre,42,Trabajando
600003,237,2,1,2,1568.8798674,Mujer,48,Oficios del hogar
600003,237,3,1,3,1568.8798674,Hombre,17,Estudiando
600003,237,4,1,4,1568.8798674,Mujer,12,
600003,237,5,1,5,1568.8798674,Hombre,10,
600003,237,6,1,6,1568.8798674,Hombre,5,
600003,237,7,1,7,1568.8798674,Hombre,19,Estudiando
600003,237,8,1,8,1568.8798674,Mujer,16,Oficios del hogar
600003,237,9,1,9,1568.8798674,Hombre,0,
600004,237,1,1,1,530.31745682,Mujer,38,Oficios del hogar
600004,237,2,1,2,530.31745682,Hombre,6,
600004,237,3,1,3,530.31745682,Mujer,26,Oficios del hogar
600004,237,4,1,4,530.31745682,Hombre,5,
600004,237,5,1,5,530.31745682,Hombre,13,
600005,237,1,1,1,235.69664748,Mujer,51,Trabajando
600005,237,2,1,2,235.69664748,Mujer,14,
600006,237,1,1,1,235.69664748,Mujer,59,Oficios del hogar
600006,237,2,1,2,235.69664748,Hombre,62,Trabajando
600006,237,3,1,3,235.69664748,Hombre,31,Trabajando
600006,237,4,1,4,235.69664748,Mujer,27,Estudiando
600006,237,5,1,5,235.69664748,Mujer,11,
600006,237,6,1,6,235.69664748,Mujer,9,
600007,237,1,1,1,235.69664748,Hombre,77,Oficios del hogar
600007,237,2,1,2,235.69664748,Hombre,55,Trabajando
600008,237,1,1,1,317.50637027,Hombre,61,Trabajando
600009,237,1,1,1,384.90644501,Mujer,90,Pensionado
600009,237,2,1,2,384.90644501,Mujer,53,Oficios del hogar
600010,237,1,1,1,235.69664748,Mujer,30,Oficios del hogar
600010,237,2,1,2,235.69664748,Hombre,9,
600010,237,3,1,3,235.69664748,Mujer,0,
600010,237,4,1,4,235.69664748,Mujer,60,Oficios del hogar
600010,237,5,1,5,235.69664748,Hombre,28,Trabajando
600011,237,1,1,1,235.69664748,Mujer,33,Trabajando
600011,237,2,1,2,235.69664748,Mujer,12,
600011,237,3,1,3,235.69664748,Mujer,6,
600012,237,1,1,1,530.31745682,Hombre,32,Trabajando
600012,237,2,1,2,530.31745682,Mujer,32,Oficios del hogar
600012,237,3,1,3,530.31745682,Hombre,10,
600012,237,4,1,4,530.31745682,Hombre,5,
600012,237,5,1,5,530.31745682,Hombre,3,
600012,237,6,1,6,530.31745682,Hombre,1,
600013,237,1,1,1,354.7411147,Mujer,37,Trabajando
600013,237,2,1,2,354.7411147,Hombre,35,Trabajando
600013,237,3,1,3,354.7411147,Mujer,10,
600013,237,4,1,4,354.7411147,Mujer,7,
600014,237,1,1,1,530.31745682,Mujer,40,Trabajando
600014,237,2,1,2,530.31745682,Mujer,14,
600014,237,3,1,3,530.31745682,Mujer,14,
600015,237,1,1,1,530.31745682,Hombre,35,Trabajando
600015,237,2,1,2,530.31745682,Mujer,33,Trabajando
600015,237,3,1,3,530.31745682,Mujer,13,
600015,237,4,1,4,530.31745682,Hombre,10,
600015,237,5,1,5,530.31745682,Hombre,9,
600016,237,1,1,1,851.75300538,Mujer,42,Incapacitado permanente para trabajar
600017,237,2,1,2,530.31745682,Mujer,30,Trabajando
600017,237,3,1,3,530.31745682,Mujer,11,
600017,237,1,1,1,530.31745682,Mujer,53,Trabajando
600018,237,1,1,1,84.526358705,Hombre,87,Pensionado
600018,237,2,1,2,84.526358705,Hombre,65,Otra actividad
600018,237,3,1,3,84.526358705,Hombre,49,Trabajando
600019,237,1,1,1,236.41199915,Hombre,29,Trabajando
600019,237,2,1,2,236.41199915,Mujer,31,Trabajando
600019,237,3,1,3,236.41199915,Mujer,9,
600019,237,4,1,4,236.41199915,Mujer,6,
600020,237,1,1,1,119.40161206,Hombre,60,Trabajando
600020,237,2,1,2,119.40161206,Mujer,58,Oficios del hogar
600021,237,1,1,1,156.28816769,Mujer,36,Trabajando
600021,237,2,1,2,156.28816769,Hombre,40,Trabajando
600021,237,3,1,3,156.28816769,Hombre,3,
600022,237,1,1,1,138.55742758,Hombre,29,Trabajando
600022,237,2,1,2,138.55742758,Mujer,20,Trabajando
600023,237,1,1,1,140.7221974,Hombre,45,Trabajando
600024,237,1,1,1,161.1679695,Mujer,43,Trabajando
600025,237,1,1,1,148.90268676,Hombre,61,Trabajando
600025,237,2,1,2,148.90268676,Mujer,59,Oficios del hogar
600025,237,3,1,3,148.90268676,Mujer,22,Trabajando
600025,237,4,1,4,148.90268676,Hombre,24,Trabajando
600025,237,5,1,5,148.90268676,Hombre,4,
600026,237,1,1,1,159.55595556,Mujer,77,Oficios del hogar
600026,237,2,1,2,159.55595556,Mujer,74,Oficios del hogar
600027,237,1,1,1,119.91353785,Mujer,30,Trabajando
600027,237,2,1,2,119.91353785,Hombre,10,
600027,237,3,1,3,119.91353785,Mujer,84,Oficios del hogar
600028,237,1,1,1,132.83744949,Mujer,53,Trabajando
600028,237,2,1,2,132.83744949,Hombre,28,Trabajando
600029,237,1,1,1,109.53622432,Mujer,57,Trabajando
600030,237,1,1,1,88.558299661,Hombre,54,Trabajando
600030,237,2,1,2,88.558299661,Mujer,51,Incapacitado permanente para trabajar
600031,237,1,1,1,112.03501327,Hombre,69,Trabajando
600031,237,2,1,2,112.03501327,Mujer,31,Trabajando
600031,237,3,1,3,112.03501327,Mujer,3,
600032,237,1,1,1,107.445313,Mujer,43,Trabajando
600033,237,1,1,1,79.601074708,Hombre,59,Trabajando
600033,237,2,1,2,79.601074708,Mujer,57,Trabajando
