DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Ciudad,Clase,Estrato
600000,235,1,1,1,942.7865899,0,Cabecera,1.0
600001,235,1,1,1,825.00296847,0,Cabecera,1.0
600002,235,1,1,1,642.87109712,0,Cabecera,1.0
600003,235,1,1,1,1568.8798674,0,Cabecera,1.0
600004,235,1,1,1,530.31745682,0,Cabecera,1.0
600005,235,1,1,1,235.69664748,0,Cabecera,1.0
600006,235,1,1,1,235.69664748,0,Cabecera,1.0
600007,235,1,1,1,235.69664748,0,Cabecera,1.0
600008,235,1,1,1,317.50637027,0,Cabecera,1.0
600009,235,1,1,1,384.90644501,0,Cabecera,1.0
600010,235,1,1,1,235.69664748,0,Cabecera,1.0
600011,235,1,1,1,235.69664748,0,Cabecera,1.0
600012,235,1,1,1,530.31745682,0,Cabecera,1.0
600013,235,1,1,1,354.7411147,0,Cabecera,1.0
600014,235,1,1,1,530.31745682,0,Cabecera,1.0
600015,235,1,1,1,530.31745682,0,Cabecera,1.0
600016,235,1,1,1,851.75300538,0,Cabecera,1.0
600017,235,1,1,1,530.31745682,0,Cabecera,1.0
600018,235,1,1,1,84.526358705,0,Cabecera,3.0
600019,235,1,1,1,236.41199915,0,Cabecera,3.0
600020,235,1,1,1,119.40161206,0,Cabecera,3.0
600021,235,1,1,1,156.28816769,0,Cabecera,3.0
600022,235,1,1,1,138.55742758,0,Cabecera,3.0
600023,235,1,1,1,140.7221974,0,Cabecera,3.0
600024,235,1,1,1,161.1679695,0,Cabecera,3.0
600025,235,1,1,1,148.90268676,0,Cabecera,3.0
600026,235,1,1,1,159.55595556,0,Cabecera,3.0
600027,235,1,1,1,119.91353785,0,Cabecera,3.0
600028,235,1,1,1,132.83744949,0,Cabecera,3.0
600029,235,1,1,1,109.53622432,0,Cabecera,3.0
600030,235,1,1,1,88.558299661,0,Cabecera,3.0
600031,235,1,1,1,112.03501327,0,Cabecera,4.0
600032,235,1,1,1,107.445313,0,Cabecera,3.0
600033,235,1,1,1,79.601074708,0,Cabecera,3.0
600034,235,1,1,1,79.601074708,0,Cabecera,3.0
600035,235,1,1,1,109.53622432,0,Cabecera,3.0
600036,235,1,1,1,93.814798268,0,Cabecera,3.0
600037,235,1,1,1,124.14999299,0,Cabecera,3.0
600038,235,1,1,1,69.030462744,Villavicencio,Cabecera,3.0
600039,235,1,1,1,69.738232858,Villavicencio,Cabecera,3.0
600040,235,1,1,1,53.652478095,Villavicencio,Cabecera,1.0
600041,235,1,1,1,92.599024541,Villavicencio,Cabecera,2.0
600042,235,1,1,1,57.75403985,Villavicencio,Cabecera,1.0
600043,235,1,1,1,54.875634728,Villavicencio,Cabecera,2.0
600044,235,1,1,1,51.826168608,Villavicencio,Cabecera,1.0
600045,235,1,1,1,73.636170106,Villavicencio,Cabecera,3.0
600046,235,1,1,1,81.558370343,Villavicencio,Cabecera,2.0
600047,235,1,1,1,77.410832513,Villavicencio,Cabecera,3.0
600048,235,1,1,1,78.42746978,Villavicencio,Cabecera,3.0
600049,235,1,1,1,69.854666268,Villavicencio,Cabecera,3.0
600050,235,1,1,1,49.436357449,Villavicencio,Cabecera,2.0
600051,235,1,1,1,57.647309224,Villavicencio,Cabecera,1.0
600052,235,1,1,1,120.15095337,Villavicencio,Cabecera,2.0
600053,235,1,1,1,57.222861927,Villavicencio,Cabecera,1.0
600054,235,1,1,1,63.259299745,Villavicencio,Cabecera,3.0
600055,235,1,1,1,46.26154918,Villavicencio,Cabecera,2.0
600056,235,1,1,1,57.765190628,Villavicencio,Cabecera,1.0
600057,235,1,1,1,63.016571594,Villavicencio,Cabecera,3.0
600058,235,1,1,1,67.430394602,Villavicencio,Cabecera,2.0
600059,235,1,1,1,94.331960548,Villavicencio,Cabecera,2.0
600060,235,1,1,1,51.555643338,Villavicencio,Cabecera,2.0
600061,235,1,1,1,48.772873336,Villavicencio,Cabecera,2.0
600062,235,1,1,1,53.591291869,Villavicencio,Cabecera,1.0
600063,235,1,1,1,62.554208091,Villavicencio,Cabecera,3.0
600064,235,1,1,1,52.20915166,Villavicencio,Cabecera,1.0
600065,235,1,1,1,79.431887889,Villavicencio,Cabecera,3.0
600066,235,1,1,1,69.091947684,Villavicencio,Cabecera,3.0
600067,235,1,1,1,77.885352392,Villavicencio,Cabecera,3.0
600068,235,1,1,1,69.39232377,Villavicencio,Cabecera,3.0
600069,235,1,1,1,51.988671565,Villavicencio,Cabecera,2.0
600070,235,1,1,1,83.748820242,Villavicencio,Cabecera,2.0
600071,235,1,1,1,78.669986825,Villavicencio,Cabecera,2.0
600072,235,1,1,1,110.53437156,Villavicencio,Cabecera,1.0
